Latency,PowerConsumption,Number of Processors,Combined Tasks,MapTask1To,MapTask2To,MapTask3To,MapTask4To,MapTask5To,MapTask6To,MapTask7To,	MapTask8To,MapTask9To,MapTask10To,MapTask11To,NodeProcessorType1,NodeProcessorType2,NodeProcessorType3,NodeProcessorType4,NodeProcessorType5,NodeProcessorType6,VSF1,VSF2,VSF3,VSF4,VSF5,VSF6,OSPolicy1,OSPolicy2,OSPolicy3,OSPolicy4,OSPolicy5,OSPolicy6
0.00537516112474221,0.051673081320510336,4,"(5, 5)","""Node6""","""Node3""","""Node2""","""Node2""","""Node6""","""Node3""","""Node4""","""Node2""","""Node4""","""Node4""","""Node4""","""Adreno""","""ARMv8""","""ARMv8""","""MIPS""","""ARMv8""","""ARMv8""",1.0,1.0,1.0,1.0,0.6666666666666666,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""PB"""
0.00400279020980028,0.04058881335816277,5,"(7, 8)","""Node1""","""Node3""","""Node1""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node6""","""Node6""","""Node6""","""Adreno""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""",1.0,1.0,1.0,0.25,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(2, 2)","""Node4""","""Node4""","""Node2""","""Node1""","""Node4""","""Node3""","""Node2""","""Node1""","""Node3""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""Adreno""","""MIPS""",0.6666666666666666,1.0,1.0,1.0,0.5,0.25,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
0.00504326731638454,0.04644812758525006,4,"(7, 7)","""Node2""","""Node1""","""Node6""","""Node2""","""Node4""","""Node1""","""Node6""","""Node2""","""Node4""","""Node6""","""Node4""","""Adreno""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""",1.0,1.0,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
0.00400122091422914,0.041959853088327496,5,"(5, 5)","""Node4""","""Node2""","""Node2""","""Node4""","""Node6""","""Node3""","""Node1""","""Node2""","""Node6""","""Node1""","""Node6""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,0.5,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
0.005168309722049911,0.0464724655677277,6,"(2, 2)","""Node5""","""Node6""","""Node5""","""Node4""","""Node1""","""Node2""","""Node5""","""Node3""","""Node2""","""Node2""","""Node2""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""MIPS""","""Adreno""",1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node6""","""Node6""","""Node4""","""Node6""","""Node5""","""Node1""","""Node4""","""Node6""","""Node1""","""Node4""","""Node4""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",1.0,0.25,0.6666666666666666,1.0,0.6666666666666666,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(7, 7)","""Node6""","""Node1""","""Node4""","""Node3""","""Node6""","""Node1""","""Node1""","""Node3""","""Node1""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""ARMv8""","""ARMv8""","""ARMv8""","""MIPS""",1.0,0.25,1.0,0.6666666666666666,0.5,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(4, 4)","""Node4""","""Node1""","""Node3""","""Node4""","""Node6""","""Node1""","""Node3""","""Node1""","""Node6""","""Node6""","""Node6""","""ARMv8""","""MIPS""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""",1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
0.00462522443614066,0.04101265185707277,6,"(6, 6)","""Node4""","""Node2""","""Node4""","""Node4""","""Node5""","""Node2""","""Node1""","""Node3""","""Node6""","""Node1""","""Node6""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(5, 8)","""Node4""","""Node4""","""Node4""","""Node3""","""Node3""","""Node5""","""Node4""","""Node4""","""Node2""","""Node3""","""Node3""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""",0.25,1.0,1.0,1.0,1.0,0.5,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00441248575060929,0.044091224578582514,4,"(6, 6)","""Node2""","""Node2""","""Node5""","""Node3""","""Node6""","""Node2""","""Node5""","""Node3""","""Node6""","""Node3""","""Node6""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",0.25,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""PB""","""FCFS""","""FCFS""","""FCFS"""
0.0056357103936132795,0.049924704250922915,6,"(6, 6)","""Node2""","""Node1""","""Node2""","""Node2""","""Node5""","""Node4""","""Node4""","""Node6""","""Node5""","""Node3""","""Node5""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""","""Adreno""",0.25,1.0,0.25,1.0,1.0,0.5,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""FCFS"""
0.00508780953447365,0.04236737386568658,6,"(8, 8)","""Node2""","""Node3""","""Node5""","""Node2""","""Node1""","""Node3""","""Node5""","""Node4""","""Node6""","""Node1""","""Node1""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""ARMv8""","""MIPS""",1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(6, 8)","""Node5""","""Node6""","""Node5""","""Node6""","""Node4""","""Node6""","""Node5""","""Node1""","""Node1""","""Node4""","""Node4""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",0.6666666666666666,0.25,0.5,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
0.00472768509967231,0.04604717247576391,4,"(7, 8)","""Node4""","""Node4""","""Node1""","""Node4""","""Node3""","""Node2""","""Node1""","""Node1""","""Node2""","""Node1""","""Node3""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",1.0,1.0,1.0,1.0,0.6666666666666666,0.25,"""FCFS""","""FCFS""","""PB""","""PB""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(8, 8)","""Node6""","""Node6""","""Node6""","""Node3""","""Node2""","""Node5""","""Node6""","""Node2""","""Node2""","""Node2""","""Node2""","""Adreno""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",0.25,1.0,0.5,0.25,0.5,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
0.00531365964912866,0.041145184168883416,5,"(6, 8)","""Node1""","""Node3""","""Node1""","""Node4""","""Node5""","""Node2""","""Node1""","""Node4""","""Node5""","""Node4""","""Node5""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""FCFS"""
0.0035731747905766,0.05074212068263705,6,"(5, 5)","""Node2""","""Node4""","""Node6""","""Node2""","""Node5""","""Node1""","""Node4""","""Node3""","""Node1""","""Node5""","""Node1""","""ARMv8""","""ARMv8""","""ARMv8""","""Adreno""","""ARMv8""","""MIPS""",1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(8, 8)","""Node2""","""Node2""","""Node4""","""Node5""","""Node2""","""Node5""","""Node2""","""Node5""","""Node3""","""Node5""","""Node3""","""Adreno""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""Adreno""",0.5,1.0,0.5,0.6666666666666666,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.0043190739760007296,0.03859050006011036,6,"(7, 7)","""Node3""","""Node5""","""Node1""","""Node3""","""Node4""","""Node5""","""Node2""","""Node6""","""Node2""","""Node2""","""Node2""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(3, 3)","""Node5""","""Node5""","""Node5""","""Node2""","""Node4""","""Node6""","""Node5""","""Node2""","""Node4""","""Node6""","""Node4""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""","""Adreno""","""ARMv8""",0.5,1.0,1.0,1.0,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 7)","""Node4""","""Node6""","""Node5""","""Node4""","""Node2""","""Node6""","""Node5""","""Node2""","""Node2""","""Node2""","""Node2""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",0.25,1.0,0.25,0.6666666666666666,0.5,0.5,"""PB""","""PB""","""FCFS""","""PB""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(3, 3)","""Node2""","""Node2""","""Node6""","""Node6""","""Node6""","""Node3""","""Node6""","""Node5""","""Node3""","""Node5""","""Node5""","""Adreno""","""Adreno""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
0.0041230392118738295,0.04792675551071724,4,"(3, 3)","""Node5""","""Node5""","""Node3""","""Node4""","""Node2""","""Node5""","""Node3""","""Node4""","""Node3""","""Node4""","""Node4""","""MIPS""","""ARMv8""","""Adreno""","""ARMv8""","""Adreno""","""MIPS""",0.25,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,"""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
0.0031268508994867603,0.04457776213767936,5,"(5, 5)","""Node1""","""Node1""","""Node3""","""Node2""","""Node6""","""Node1""","""Node5""","""Node2""","""Node5""","""Node2""","""Node5""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(2, 2)","""Node5""","""Node6""","""Node6""","""Node5""","""Node2""","""Node6""","""Node6""","""Node4""","""Node4""","""Node4""","""Node4""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""MIPS""",0.25,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
0.00446613553800541,0.040257877573666896,5,"(4, 4)","""Node3""","""Node6""","""Node4""","""Node3""","""Node2""","""Node6""","""Node1""","""Node1""","""Node2""","""Node1""","""Node1""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,1.0,1.0,0.5,1.0,"""PB""","""PB""","""PB""","""FCFS""","""FCFS""","""PB"""
0.0059792269814125205,0.040156005840604636,5,"(5, 5)","""Node4""","""Node6""","""Node1""","""Node4""","""Node2""","""Node6""","""Node1""","""Node4""","""Node2""","""Node3""","""Node3""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""Adreno""","""Adreno""",1.0,1.0,1.0,0.6666666666666666,0.5,1.0,"""PB""","""FCFS""","""PB""","""PB""","""PB""","""FCFS"""
0.00472060571895297,0.04706655221290541,5,"(7, 7)","""Node6""","""Node1""","""Node6""","""Node4""","""Node2""","""Node3""","""Node1""","""Node4""","""Node2""","""Node4""","""Node2""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""ARMv8""","""ARMv8""",1.0,1.0,0.6666666666666666,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""PB""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(8, 8)","""Node6""","""Node4""","""Node5""","""Node3""","""Node6""","""Node4""","""Node5""","""Node3""","""Node5""","""Node3""","""Node3""","""Adreno""","""Adreno""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""",0.5,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(4, 4)","""Node1""","""Node5""","""Node2""","""Node1""","""Node4""","""Node5""","""Node2""","""Node2""","""Node4""","""Node4""","""Node4""","""MIPS""","""Adreno""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00577988454660617,0.0417241909546372,4,"(4, 4)","""Node4""","""Node4""","""Node6""","""Node4""","""Node2""","""Node5""","""Node6""","""Node6""","""Node2""","""Node5""","""Node2""","""Adreno""","""MIPS""","""ARMv8""","""Adreno""","""ARMv8""","""MIPS""",1.0,1.0,0.5,1.0,1.0,1.0,"""FCFS""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
0.00616635354480691,0.04047689650938149,6,"(8, 8)","""Node2""","""Node6""","""Node2""","""Node3""","""Node4""","""Node5""","""Node6""","""Node3""","""Node1""","""Node3""","""Node1""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""Adreno""",0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
0.0034066210710675397,0.04924551211219561,5,"(7, 7)","""Node4""","""Node1""","""Node3""","""Node4""","""Node2""","""Node1""","""Node3""","""Node5""","""Node2""","""Node5""","""Node2""","""ARMv8""","""Adreno""","""Adreno""","""ARMv8""","""ARMv8""","""Adreno""",1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,"""PB""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00420903749021177,0.04634472813820908,4,"(8, 8)","""Node1""","""Node4""","""Node1""","""Node5""","""Node4""","""Node3""","""Node1""","""Node5""","""Node3""","""Node5""","""Node3""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""","""Adreno""","""MIPS""",1.0,0.5,1.0,1.0,1.0,0.25,"""PB""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(7, 8)","""Node5""","""Node2""","""Node5""","""Node5""","""Node4""","""Node6""","""Node5""","""Node5""","""Node6""","""Node5""","""Node4""","""Adreno""","""Adreno""","""Adreno""","""Adreno""","""MIPS""","""ARMv8""",0.25,0.6666666666666666,0.25,1.0,1.0,1.0,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""FCFS"""
0.00603686866482204,0.04122227074400355,4,"(7, 8)","""Node5""","""Node5""","""Node5""","""Node5""","""Node6""","""Node2""","""Node4""","""Node4""","""Node2""","""Node4""","""Node4""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""Adreno""",0.5,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.005505744954220871,0.0413043497072185,5,"(7, 7)","""Node1""","""Node1""","""Node5""","""Node1""","""Node4""","""Node2""","""Node6""","""Node5""","""Node2""","""Node6""","""Node4""","""ARMv8""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""MIPS""",1.0,1.0,0.25,1.0,0.6666666666666666,1.0,"""FCFS""","""PB""","""FCFS""","""FCFS""","""PB""","""PB"""
0.00511426586926082,0.04443155853954992,6,"(6, 8)","""Node2""","""Node1""","""Node6""","""Node2""","""Node3""","""Node1""","""Node5""","""Node4""","""Node5""","""Node5""","""Node5""","""ARMv8""","""MIPS""","""ARMv8""","""MIPS""","""MIPS""","""MIPS""",1.0,1.0,1.0,0.5,1.0,0.6666666666666666,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
99999.0,99999.0,99999,"(7, 7)","""Node2""","""Node2""","""Node4""","""Node3""","""Node4""","""Node2""","""Node4""","""Node3""","""Node4""","""Node3""","""Node1""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""",0.25,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,"""FCFS""","""PB""","""PB""","""PB""","""PB""","""PB"""
0.00440373136948103,0.047266360126343096,5,"(6, 6)","""Node4""","""Node6""","""Node4""","""Node1""","""Node2""","""Node5""","""Node6""","""Node1""","""Node5""","""Node1""","""Node5""","""ARMv8""","""Adreno""","""MIPS""","""MIPS""","""Adreno""","""ARMv8""",1.0,1.0,0.5,1.0,1.0,0.6666666666666666,"""PB""","""FCFS""","""PB""","""FCFS""","""FCFS""","""PB"""
0.00558857167785234,0.04021974174711943,6,"(5, 8)","""Node2""","""Node1""","""Node1""","""Node1""","""Node5""","""Node4""","""Node3""","""Node4""","""Node5""","""Node3""","""Node6""","""Adreno""","""Adreno""","""MIPS""","""MIPS""","""MIPS""","""ARMv8""",1.0,1.0,1.0,0.6666666666666666,1.0,1.0,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""FCFS"""
0.00465617730489517,0.04166515603062413,6,"(8, 8)","""Node5""","""Node3""","""Node5""","""Node6""","""Node1""","""Node4""","""Node5""","""Node6""","""Node4""","""Node1""","""Node2""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""MIPS""","""MIPS""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""PB"""
99999.0,99999.0,99999,"(6, 8)","""Node6""","""Node4""","""Node6""","""Node6""","""Node3""","""Node4""","""Node1""","""Node1""","""Node3""","""Node1""","""Node1""","""MIPS""","""Adreno""","""MIPS""","""Adreno""","""MIPS""","""MIPS""",1.0,1.0,1.0,1.0,1.0,1.0,"""FCFS""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
99999.0,99999.0,99999,"(8, 8)","""Node2""","""Node2""","""Node6""","""Node3""","""Node2""","""Node2""","""Node6""","""Node3""","""Node5""","""Node3""","""Node3""","""ARMv8""","""MIPS""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""",0.25,0.6666666666666666,0.5,0.25,0.25,0.5,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(8, 8)","""Node6""","""Node6""","""Node6""","""Node4""","""Node6""","""Node3""","""Node6""","""Node4""","""Node3""","""Node2""","""Node2""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",0.25,0.5,1.0,0.6666666666666666,0.5,1.0,"""FCFS""","""PB""","""FCFS""","""PB""","""PB""","""PB"""
0.00569407984708645,0.04061212937765614,4,"(6, 8)","""Node1""","""Node6""","""Node1""","""Node6""","""Node4""","""Node3""","""Node1""","""Node6""","""Node4""","""Node3""","""Node3""","""MIPS""","""ARMv8""","""MIPS""","""Adreno""","""ARMv8""","""Adreno""",1.0,0.25,1.0,1.0,1.0,1.0,"""PB""","""FCFS""","""FCFS""","""PB""","""PB""","""PB"""
99999.0,99999.0,99999,"(6, 7)","""Node1""","""Node1""","""Node4""","""Node2""","""Node5""","""Node4""","""Node4""","""Node2""","""Node4""","""Node2""","""Node2""","""MIPS""","""MIPS""","""MIPS""","""MIPS""","""Adreno""","""Adreno""",0.5,1.0,0.5,1.0,1.0,0.5,"""PB""","""FCFS""","""FCFS""","""PB""","""FCFS""","""PB"""
0.0037726730269218,0.05188503165917882,4,"(8, 8)","""Node3""","""Node3""","""Node1""","""Node1""","""Node3""","""Node5""","""Node2""","""Node1""","""Node2""","""Node2""","""Node2""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""","""Adreno""","""MIPS""",1.0,1.0,1.0,0.5,1.0,0.25,"""PB""","""PB""","""FCFS""","""FCFS""","""FCFS""","""FCFS"""
0.00422323727328389,0.0507683719326218,5,"(5, 5)","""Node5""","""Node6""","""Node5""","""Node2""","""Node4""","""Node3""","""Node5""","""Node2""","""Node3""","""Node2""","""Node2""","""Adreno""","""ARMv8""","""ARMv8""","""ARMv8""","""Adreno""","""Adreno""",0.25,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,"""FCFS""","""FCFS""","""PB""","""FCFS""","""PB""","""FCFS"""
0.0042991079782270705,0.04877749357205676,5,"(5, 5)","""Node2""","""Node5""","""Node1""","""Node2""","""Node3""","""Node4""","""Node5""","""Node1""","""Node3""","""Node4""","""Node3""","""ARMv8""","""Adreno""","""ARMv8""","""MIPS""","""MIPS""","""ARMv8""",1.0,1.0,1.0,1.0,1.0,0.6666666666666666,"""PB""","""FCFS""","""FCFS""","""FCFS""","""PB""","""FCFS"""
